127.0.0.1 - - [05/Sep/2016:08:11:45 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [05/Sep/2016:08:12:36 +0800] "GET /projectManage/register.jsp HTTP/1.1" 200 2871
0:0:0:0:0:0:0:1 - - [05/Sep/2016:08:12:37 +0800] "GET /projectManage/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2016:08:12:37 +0800] "GET /projectManage/bootstrap/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2016:08:12:37 +0800] "GET /projectManage/css/myStyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2016:08:12:37 +0800] "GET /projectManage/css/flat-ui.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2016:08:12:37 +0800] "GET /projectManage/css/style.complete.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2016:08:12:37 +0800] "GET /projectManage/images/hexagon.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2016:08:12:41 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [05/Sep/2016:08:13:29 +0800] "GET /projectManage/register.jsp? HTTP/1.1" 200 2871
0:0:0:0:0:0:0:1 - - [05/Sep/2016:08:14:42 +0800] "GET /projectManage/Login.jsp HTTP/1.1" 404 1040
0:0:0:0:0:0:0:1 - - [05/Sep/2016:08:25:22 +0800] "GET /projectManage/register.jsp? HTTP/1.1" 200 2356
0:0:0:0:0:0:0:1 - - [05/Sep/2016:08:25:22 +0800] "GET /projectManage/bootstrap/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2016:08:25:22 +0800] "GET /projectManage/css/flat-ui.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2016:08:25:22 +0800] "GET /projectManage/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2016:08:25:22 +0800] "GET /projectManage/css/style.complete.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2016:08:25:22 +0800] "GET /projectManage/css/myStyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2016:08:26:14 +0800] "GET /projectManage/register.jsp? HTTP/1.1" 200 2374
0:0:0:0:0:0:0:1 - - [05/Sep/2016:08:26:15 +0800] "GET /projectManage/bootstrap/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2016:08:26:15 +0800] "GET /projectManage/css/flat-ui.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2016:08:26:15 +0800] "GET /projectManage/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2016:08:26:15 +0800] "GET /projectManage/css/myStyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2016:08:26:15 +0800] "GET /projectManage/css/style.complete.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2016:08:26:15 +0800] "GET /projectManage/images/hexagon.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2016:08:26:54 +0800] "GET /projectManage/register.jsp? HTTP/1.1" 200 2408
0:0:0:0:0:0:0:1 - - [05/Sep/2016:08:26:55 +0800] "GET /projectManage/bootstrap/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2016:08:26:55 +0800] "GET /projectManage/css/flat-ui.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2016:08:26:55 +0800] "GET /projectManage/css/style.complete.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2016:08:26:55 +0800] "GET /projectManage/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2016:08:26:55 +0800] "GET /projectManage/css/myStyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2016:08:26:55 +0800] "GET /projectManage/images/hexagon.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2016:08:27:57 +0800] "GET /projectManage/register.jsp? HTTP/1.1" 200 2376
0:0:0:0:0:0:0:1 - - [05/Sep/2016:08:27:57 +0800] "GET /projectManage/css/flat-ui.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2016:08:27:57 +0800] "GET /projectManage/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2016:08:27:57 +0800] "GET /projectManage/bootstrap/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2016:08:27:57 +0800] "GET /projectManage/css/style.complete.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2016:08:27:57 +0800] "GET /projectManage/css/myStyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2016:08:27:57 +0800] "GET /projectManage/images/hexagon.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2016:08:29:59 +0800] "GET /projectManage/register.jsp? HTTP/1.1" 200 2397
0:0:0:0:0:0:0:1 - - [05/Sep/2016:08:29:59 +0800] "GET /projectManage/bootstrap/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2016:08:29:59 +0800] "GET /projectManage/css/flat-ui.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2016:08:29:59 +0800] "GET /projectManage/css/style.complete.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2016:08:29:59 +0800] "GET /projectManage/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2016:08:29:59 +0800] "GET /projectManage/css/myStyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2016:08:29:59 +0800] "GET /projectManage/images/hexagon.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2016:08:30:44 +0800] "GET /projectManage/css/flat-ui-pro.css.map HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [05/Sep/2016:08:34:32 +0800] "GET /projectManage/register.jsp? HTTP/1.1" 200 3380
0:0:0:0:0:0:0:1 - - [05/Sep/2016:08:34:32 +0800] "GET /projectManage/bootstrap/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2016:08:34:33 +0800] "GET /projectManage/css/flat-ui.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2016:08:34:33 +0800] "GET /projectManage/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2016:08:34:33 +0800] "GET /projectManage/css/style.complete.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2016:08:34:33 +0800] "GET /projectManage/css/myStyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2016:08:34:33 +0800] "GET /projectManage/images/hexagon.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2016:08:34:33 +0800] "GET /projectManage/js/jquery-1.8.3.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2016:08:34:33 +0800] "GET /projectManage/js/jquery.ui.touch-punch.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2016:08:34:33 +0800] "GET /projectManage/js/flatui-radio.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2016:08:34:33 +0800] "GET /projectManage/js/application.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2016:08:34:33 +0800] "GET /projectManage/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2016:08:34:33 +0800] "GET /projectManage/js/bootstrap-select.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2016:08:34:33 +0800] "GET /projectManage/js/jquery.placeholder.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2016:08:34:33 +0800] "GET /projectManage/js/jquery.nivo.slider.pack.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2016:08:34:33 +0800] "GET /projectManage/js/jquery-ui-1.10.3.custom.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2016:08:34:33 +0800] "GET /projectManage/js/flatui-checkbox.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2016:08:34:33 +0800] "GET /projectManage/js/jquery.tagsinput.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2016:08:34:33 +0800] "GET /projectManage/js/over.js HTTP/1.1" 304 -
